Deyimler;Türkçe Anlamı;İngilizce Anlamı
Aklını (bir şeyle) bozmak;Sapıtmak, delirmek;Determining, crazy
Aklını çelmek;Kararından, niyetinden vazgeçirip başka bir yola sokmak;Discourage him from his decision, intention and put it on another way
Al aşağı etmek;Birini bulunduğu yerden, mevkiden indirmek;Download someone from where they are, from the position
Al birini vur ötekine;Hepsi aynı, bir ayarda, hiçbiri işe yaramaz.;All of them are the same, in one setting, none of them do not work.
Alın teri dökmek;Zahmetli iş görüp çok emek vermek;It is a laborious work and to give a lot of effort
Allak bullak etmek;Kurulu düzeni bozmak, karmakarışık bir duruma getirmek;Breaking the established order, making it a mess
Allayıp pullamak;Kötü görünüşü kapatmak için bir şeyi süslemek, donatmak;Decorating something to close the bad appearance, equipping
Allem etmek, kallem etmek;İstediğini elde etmek için her türlü kurnazlığa başvurmak;To resort to all kinds of cunning to get what you want
Alnının akıyla;"Küçümsenecek, ayıplanacak bir duruma düşmeden; tertemiz, şerefiyle, başarılı olarak";"Without falling into a situation to be underestimated and condemned; clean, with honor, successfully"
Alnının kara yazısı;Kötü talih, baht;Bad fortune, baht
Altında kalmamak;Bir şeyi karşılıksız bırakmamak;Not to leave something unrequited
Altından kalkmak;Bir zorluğu yenip işi başarmak;Defeat a challenge and achieve the job
Altını üstüne getirmek;Bir şeyi bulmak için aramadık yer bırakmamak;We haven't called a place to find something not to leave
Alttan almak;Sert konuşan birine karşı yumuşak, olumlu, onu haklı görüyormuş gibi tavır almak;Taking a position as soft, positive, justified against someone who speaks hard
Aman dilemek;Önce direnirken zor karşısında boyun eğip canının bağışlanmasını istemek, galip gelenin merhametine sığınmak;First, asking for the forgiveness of his life, taking refuge in the mercy of the victorious
Aman vermemek;Göz açtırmamak, rahat bırakmamak;Not to have an eye, not to leave it alone
Ana kuzusu;Sıkıntıya, güç işlere alışkın olmayan, nazlı çocuk veya genç;Nazlı child or young
Anası ağlamak;Çok eziyet çekmek, sıkıntıya katlanmak, bitkin duruma düşmek;To suffer a lot, to endure distress, to fall into exhausted
Anasından doğduğuna pişman etmek;Çok eziyet ederek canından bezdirmek, bir kimseyi çok üzmek;To harass your life by tormenting a lot, to upset someone very much
Anasını ağlatmak;Bir kimseye çok eziyet edip sıkıntı çektirmek;To torment a person and suffer
Anca beraber, kanca beraber;Birbirimizden ayrılmayacağız, işler iyi de gitse, kötü de gitse hep birlikte yapacağız, beraberliği bozmayacağız;We will not leave each other, if things go well, if they go bad, we will do it together, we will not break the draw
Ara bulmak;Birbirleriyle anlaşamayan, bir araya gelemeyen kişileri uzlaştırmak, barıştırmak;Reconcile people who cannot agree with each other and cannot come together
Araları açılmak;"İyi ilişkileri, dostlukları, arkadaşlık bağları kopmak; birbirlerine dargın hâle gelmek";"Good relationships, friendships, friendship ties break; come to each other"
Aralarından kara kedi geçmek;İyi anlaşan iki kişinin veya dostun ilişkileri bozulmak, aralarına soğukluk girmek, birbirlerine gücenmek;The relationships of two people or friends who dealt well, to break the coldness between them, to be offended by each other
Aralarından su sızmamak;Çok iyi, çok yakın dostluk veya arkadaşlık kurmak, ahbap olmak;Very good, very close friendship or friendship, being a dude
Arap saçına dönmek;İşlerin çok karışıp içinden çıkılmaz bir durum alması;That things get too confused and get an inextricable situation
Arayı yapmak;rası açık olan iki kişiyi uzlaştırıp, barıştırmak;reconcile and reconcile two people who are open
Ar damarı çatlamak;Utanç duyulacak şeyleri sıkılmadan yapmak, utanmayı bırakmak, yüzsüz olmak;Shamelessly doing things to do without getting bored, quitting shame, being brazen
Arı kovanı gibi işlemek;Girip çıkanı, gelip gideni çok olmak;To be a lot of those who come and come and go
Arka çıkmak;"Birilerine karşı, birini korumak; savunmak, kayırmak";"Against someone, protecting someone; defending, favoritism"
Arkadan vurmak;Kendisine inanan, güvenen bir kimseye gizlice kötülük etmek;Secretly evil to a person who believes and trusts him
Armut piş, ağzıma düş;Bir işin hiç emek harcamadan olmasını, kendiliğinden hazır olup ayağına gelmesini bekleyenlerin durumu;The status of those who are ready to be ready for a job without any effort, and wait for them to come to their feet.
Arpa boyu kadar gitmek;Çok az ilerlemek;Go through a little
Asıp kesmek;İşkence etmek, zalimce tavırlarda bulunmak;Torture, to make cruel attitudes
Askıya almak;Geciktirmek, belirsiz olarak ertelemek, bir işi zamanında yapmayıp savsaklamak;Delaying, postponing as uncertain, not doing a job on time and defending
Aslı astarı olmamak;Yalan, asılsız olmak, gerçek payı bulunmamak;Lie, being unfounded, not having a real share
Astığı astık, kestiği kestik;Davranışlarından dolayı kimseye hesap vermeyen, istediği gibi davranan, çok sert kimseler;Very hard people who do not account for anyone because of their behavior
Aşağı tükürsen sakal, yukarı tükürsen bıyık;Sakıncalı oluşları eşit olan iki karşıt davranıştan birine karar verememe zorunluluğu;The obligation not to decide on one of the two opposing behaviors that are equal to their objectionable
Ateş bacayı sarmak;Bir iş ya da olay önüne geçilemez, tehlikeli bir durum almak;A job or event cannot be avoided, taking a dangerous situation
Ateşe atmak;Birini çok tehlikeli bir işe bile bile sokmak;To put someone in a very dangerous job
Ateşle oynamak;Çok tehlikeli, zarar verecek bir işin üstüne üstüne gitmek ya da böyle bir işe girişmek;Going on a very dangerous, harmful job or going to do such a job
Ateş pahası;Çok pahalı;Very expensive
Ateş püskürmek;Çok öfkeli olmak, ağır sözler söylemek;To be very angry, to say heavy words
Atı alan Üsküdar`ı geçti;Fırsat kaçtı, artık yapılacak şey kalmadı;The opportunity escaped, there is no thing to do anymore
Atıp tutmak;Kendi gücünü aşacağı işler yapacağını söylemek, abartılı konuşmak, Birisinin arkasından ileri geri konuşmak, kötü sözler etmek;Saying that he will do things to overcome his own power, talking exaggerated, talking back and forth behind someone, making bad words
Attan inip eşeğe binmek;Bulunduğu dereceden, mevkiden, önemli görevden daha aşağı bir yere inmek veya alınmak;To go down to a place lower than the degree, from the position, from the important task.
Avucunu yalamak;Umduğunu ele geçirememek, beklediğini elde edememek;Not being able to take over what you hope, not to get what you expect
Ayağı ile gelmek;Kendi isteği ile gelmek;Come to one's own will
Ayağına dolaşmak / dolanmak;Birisinin yaptığı işe engel olmak;To prevent someone doing
Ayağına kapanmak;Kendini küçük düşürerek yalvarıp yakarmak;Begging and crying by humiliation
ayaklarına kara su inmek;Bir yerde ayakta beklemekten veya uzun süre dolaşmaktan çok yorulmak;Get tired of waiting somewhere or wandering for a long time
Ayağını çekmek;Daha önce gittiği yere artık uğramaz olmak, ilişkiyi ve ilgiyi kesmek;Being not to stop where he went before, interrupting the relationship and attention
Ayağını denk almak;Birilerinin kendisine karşı yapacakları muhtemel kötülüklere karşı uyanık davranmak, tedbirli olmak;To be awake against the possible evils that someone will do against him is to be cautious
Ayağını kaydırmak;Bir yolunu bularak birini bulunduğu işten, mevkiden uzaklaştırmak;Finding a way to remove someone from the position, from the position
Ayağının tozuyla;Henüz dinlenmeden, yoldan gelir gelmez;As soon as you can come from resting, without resting
Ayağını sürümek;Verilen bir görevi ağırdan yapmak;To do a given task
Ayağını yorganına göre uzatmak;Gelirini giderine uydurmak, harcamalarda geliri aşmamak;To adapt income to the expense, not to exceed income in expenditures
Ayak diremek;Bir şeyde ısrar etmek, karşı koymak, kendi kararından vazgeçmemek;To insist on something, to resist, not to give up your own decision
Ayaklar altına almak;Önem verilmesi gereken şeyleri hiçe saymak, çiğnemek;To disregard the things that need to be given, to chew
Ayakları geri geri gitmek;Bir yere istemeye istemeye, gönülsüz gitmek;To ask for a place, reluctant
Ayaklı kütüphane;Çok şey okumuş, her sorulana cevap veren, çok şey bilen, okudukları aklında kalmış kimse;Who read a lot, answers every question, knows a lot, in mind what they read
Ayak takımı;İşe yaramaz, bilgisiz, görgüsüz, kaba, serseri, değersiz kimselerin bütünü;Useless, ignorant, manners, rude, bums, worthless people
Ayak uydurmak;Kendi gidiş ve davranışını başkasınınkine benzetmek;To resemble your own departure and behavior to someone else's
Ayak üstü / üzeri;Kısa süre içinde, acele olarak;In a short time, in a hurry
Ayıkla pirincin taşını;Bir işin oldukça karışık, dolaşık, içinden çıkılması güç olduğu;A job is quite complicated, entangled, difficult to get out of
Babasının hayrına;Hiçbir çıkar elde etmeden, sadece iyilik olsun diye;Without getting any interest, just for good
Bacak kadar;"Ufak tefek; kısa boylu ";"Small; short"
Bağrına basmak;Sevgi gösterip onu koruyuculuğuna almak;Show love and take it to the protection
Bağrı yanık;Çok dertli, acılı (kimse).;Very troubled, painful (nobody).
Bahtı açık;"İşleri yolunda giden; talihi açık, şansı açık";"Going on the way to work; Fortune is clear, the chance is clear"
Bahtı bağlı olmak; İşleri İstediği gibi yürümemek;Not to walk as you wish
Bahtı kara;Talihi kötü olan;Whose fortune is bad
Baklayı ağzından çıkarmak;Gizli tuttuğu şeyleri açıklamak;Explain the things he keeps secret
Bal gibi;Pekâlâ, adamakıllı;All right,
Balık istifi;Çok sıkışık , üst üste, kalabalık;Very cramped, on top of each other, crowded
Baltayı taşa vurmak;Farkında olmadan karşısındakini rahatsız edecek, kızdıracak söz söylemek;Saying a word that will disturb the other person without realizing it
Bam teline basmak;Bir kimseyi duyarlı olduğu bir konuda kızdıracak söz söylemek, davranışta bulunmak;Saying a word that will make a person angry about something that is sensitive, to behave
Bana mısın dememek;Zorlu bir işe, etkene vb’ye dayanmak, bunlardan hiç etkilenmemek;To rely on a challenging job, the factor, etc.
Baston yutmuş gibi;Sallanmadan, dimdik;Without shaking
Başa baş;Eşit, denk;Equal, equivalent
Başı çekmek;Bir işte ön ayak olmak, bir işin yapılmasında öncü olmak;Being a pioneer in a job, being a pioneer in doing a job
Başı dara düşmek;Sıkıntılı bir durum içinde olmak;Be in a troubled situation
Başı dik;"Onurlu; onurlu biçimde";"Honorable; honorable"
Başı dumanlı;Açık seçik düşünebilecek, karar verebilecek, durum da olmayan;Clearly thinking, deciding,
Başı göğe ermek;"Beklenmedik bir anda büyük bir mutluluğa kavuşmak; bundan ötürü çok böbürlenmek";"To have great happiness at an unexpected moment; so boasting"
Başına buyruk;Hiç kimseden izin almak gereğini duymadan, istediği gibi davranan;Acting the way he wants to get permission from anybody
Başına çıkarmak;"Birinin hoşgörüsünü, yakınlığını fırsat bilip şımarıkça davranmak; tepesine çıkmak";"To be spoiled by knowing the tolerance and proximity of someone; go up"
Başına çorap örmek;"Birini kötü duruma düşürmek için gizli plan hazırlamak; çorap örmek";"Preparing a secret plan to make someone bad; sock"
Başına kakmak;Yaptığı iyiliği, iyilik yaptığı kimsenin yüzüne karşı söyleyerek onu incitmek;To hurt him by saying his goodness against the face of anyone he does good
Başına vur, ağzından lokmasını al;Uysal, boyun eğen;Docile, submission
Başından atmak;Rahatsızlık veren, artık sıkıcı olan bir kimseyle ilişkiye son vermek;To end a relationship with someone who is uncomfortable and is now boring
Başından büyük işlere girişmek;Bilgi, beceri ve yetkisini aşan işleri yapmak istemek, bunlara yeltenmek;Wanting to do things that exceed the knowledge, skills and authority, to attempt to them
Başından (aşağı) kaynar su (sular) dökülmek;Üzücü, utandırıcı bir olay, durum karşısında büyük bir sıkıntı duymak;A sad, embarrassing event, a great trouble in the face of the situation
Başından savmak;Onu herhangi bir bahane ile uzaklaştırmak;To get him away with any excuse
Başını döndürmek;Çok beğenmek, büyük bir ilgi duymak;To like a lot, to have a great interest
Başının etini yemek;"Birisinden ısrarla, bıkkınlık verecek ölçüde bir şeyler istemek; kafasının etini yemek";"To ask someone to insist on something that will give boredom; eat the meat of his head"
Başını şişirmek;Çok konuşmak ya da gürültü vb. ederek başının ağrımasına yol açmak;Talking a lot or noise and so on. causing the headache
Başını taşa vurmak;Bir fırsatı kaçırınca ya da başarısızlığa uğrayınca çok üzülmek;To be very sad when he missed an opportunity or fails
Başını yakmak ;Onu tehlikeli bir duruma sokmak, zarar sokmak;Put him in a dangerous situation, to harm him
Başı sıkışmak;Herhangi bir güçlükle karşılaşmak;Encounter with any difficulty
Başı sonu belli değil;Çok düzensiz, karmakarışık;Very irregular, chaotic
Baş kaldırmak;Ayaklanmak, isyan etmek, karşı gelmek;Uprising, rebellion, opposing
Baştan savma;Özen göstermeden, gelişigüzel bir biçimde yapılan;Without taking care, made in a random manner
Bel bağlamak;Ona güvenmek, inanmak;Trusting him, believing
Belini doğrultmak;İşlerini düzene koymak;Regulate
Benzi atmak;Korkudan ya da heyecandan yüzü sararmak;Holding the face of fear or excitement
Beş para etmez;Hiçbir değeri yok;It has no value
Beş paralık olmak;Ayıpları ortaya döküldüğü için küçük düşmek;To be humiliated for their shames
Beş parasız;Yoksul, parasız;Poor, free
Beyninden vurulmuşa dönmek;Kötü bir haber alıp, hiçbir şey düşünmeyecek duruma gelmek;Getting bad news and coming to a situation that will not think of anything
Beyni sulanmak;sağlıklı düşünebilme gücünü yitirmek;Lose the power to think healthy
Bıçak kemiğe dayanmak;Sıkıntı, zahmet, artık dayanılamayacak bir duruma gelmek;Boredom, trouble, to come into a situation that cannot be unbearable anymore
Bıçak sırtı; Çok az fark, zaman;Very little difference, time
Bıyık altında gülmek;Birinin içinde bulunduğu duruma alay ederek, belli etmeden gülmek;Laughing without making a manner by mocking someone's situation
Biçilmiş kaftan;Bir işe, kimseye en uygun , en elverişli olan;The most convenient, most suitable for a job, anyone
Bildiğini okumak;Başkalarının sözüne kulak asmadan istediği gibi davranmak;Act as he wants to listen to others
Bileğinin hakkıyla;Kendi çalışması ve gücüyle.;With his own work and power.
Bin dereden su getirmek;Birini kandırmak için bir yığın gerekçe ileri sürmek, aldatıcı sözler söylemek;To put a pile of justification to deceive someone, to say deceptive words
Bindiği dalı kesmek;Yarar sağladığı bir şeyi ortadan kaldırmak, kendisi için zararlı duruma getirmek;To eliminate something that is beneficial, to make it harmful to itself
Bir arpa boyu yol gitmek;Önemsiz denecek kadar az ilerleme sağlamak;To make less progress of insignificant
Bir ayağı çukurda;Çok yaşlanmış, ölüme epeyce yakın;Very old, quite close to death
Bir baltaya sap olmak;Belirli bir iş tutmak, bir meslek sahibi olmak;Keeping a particular job, having a profession
Bir bardak suda fırtına koparmak;Önemsiz denecek kadar küçük bir sorunu büyütüp, kavga konusu yapmak;Enlarge a problem that is not called insignificant and make a fight
Bir çuval inciri berbat etmek;Yolunda giden bir işi, yanlış bir hareketle ya da sözle bozmak;A job that goes well, in a wrong movement or by word
Bir dediğini iki etmemek;her istediğini yerine getirmek;To fulfill everything you want
Bir deri bir kemik;Vücutça çok zayıf;Very weak body
Bir eli yağda bir eli balda;Zenginlik, bolluk içinde;In wealth, abundance
Bir iğne bir iplik kalmak;Bir üzüntü, hastalık vb. nedeniyle çok zayıflamak;A sadness, disease and so on. weaken
Bir kaşık suda boğmak;"Bir kimseye çok kızmak; kin duymak";"To be very angry with someone; grudge"
Bir kulağından girip öteki kulağından çıkmak;Söylenilenlere önem vermemek, hiç uymamak, onları dikkate almamak;Not to pay attention to what is said, not to comply, not to consider them
Bir tahtası eksik;Pek akıllı olmayan;Not very smart
Bir taşla iki kuş vurmak;Bir davranışla, yararlı iki sonuç elde etmek;To achieve two useful results with a behavior
Bir yaşına daha girmek;Şaşılacak yepyeni bir durumla karşılaşmak;To encounter a wonderful brand new situation
Boğazına düğümlenmek;Heyecan, korku, vb. yüzünden söyleyeceklerini söylememek;Excitement, fear, etc. not to say what to say
Boğazından kesmek;Para arttırmak için yiyeceğinden kısıntı yapmak;Making a break from food to increase money
Bol keseden;Ölçüsüz olarak;Without excessively
Bol keseden atmak;Yerine getirilmesi güç vaatler bulunmak;Finding promises that are difficult to fulfill
Borç harç;Borçlanarak, borca girerek;By borrowing, entering the debt
Borusu ötmek;Nüfuzu olmak, sözü dinlenmek, sözü geçmek;To be influence, to relax, to promise
Boş atıp dolu tutmak;Umutsuz gibi görünen bir işten olumlu sonuç almak;Getting positive results from a job that seems desperate
Boş bulunmak;Dikkatsiz ve dalgın bir durumda bulunmak;To be in a careless and pensive situation
Boş gezenin boş kalfası;İşsiz güçsüz dolaşan kimse;Unemployed
Boş vermek;önem vermemek, aldırmamak;not paying attention, not to mind
Boy göstermek;Gösteriş olsun diye ortalıkta görünmek;To look around for a show
Boynu bükük;Acınacak, zavallı kimse;Something will be sorry
Boynum kıldan ince;Haksız olduğum anlaşılırsa, verilecek her ceza ya boyun eğeceğim;If it is understood that I am unfair, I will submit to every penalty to be given
Boynunun borcu;Bir kişinin yapmak zorunda olduğu iş;The work that a person has to do
Boynuz isterken kulaktan olmak;Daha iyi bir şey elde etmek isterken elindekini de yitirmek;Losing your hand while trying to get something better
Boyundan büyük işlere kalkışmak;Başaramayacağı işlere kalkışmak;Attempting things he can't succeed
Boyun eğmek;Güçlü birinin isteğini zorla ya da istemeyerek kabul etmek;To force or unintentionally accept the request of a strong person
Boyunun ölçüsünü almak;Giriştiği bir işte başarısızlığa uğrayıp beceriksizliğini ya da yetersizliğini anlamak;Understanding his incompetence or inadequate
Bozuk para gibi harcamak;Bir kimsenin değerini sıfıra indirmek, onu başkalarının yanında küçük düşürmek;To reduce the value of a person to zero, to humiliate him with others
Bozuntuya vermemek;Olup bitenleri anlamamış, görmemiş, söylenenleri duymamış gibi davranmak, durumu İdare etmek;To act as if he did not understand, see, not heard what is happening, to manage the situation
Bulunmaz Hint kumaşı;Az bulunur, çok değerli bir şey ya da kimse;Rare, something very valuable or nobody
Buluttan nem kapmak;En küçük bir şeyden bile alınmak, çok alıngan olmak;To be taken from even the smallest, to be very touchy
Bu ne perhiz, bu ne lahana turşusu;Sözleri ve davranışları birbirini tutmuyor;His words and behaviors do not hold each other
Burnundan getirmek;Birini bir şeyi yaptığına yapacağına pişman etmek;To regret that you will do something to do something
Burnundan kıl aldırmamak;Kendisine hiçbir söz söyletmemek, huysuz ve gururlu olmak, eleştiriye tahammülü olmamak;Not to make a word, to be grumpy and proud, not to tolerate criticism
Burnundan solumak;Çok öfkelenmek, sinirlenmek;Getting angry, getting angry
Burnunda tütmek;çok özlemek, istemek, aramak;To miss a lot, to want, to call
Burnunun dikine gitmek;Başkalarının öğütlerine kulak asmayıp kendi bildiği gibi davranmak;Not listening to the advice of others and acting as he knows
Burnunu sokmak;Kendisini ilgilendirmeyen işe karışmak;Interfering
Burun kıvırmak;beğenmemek, küçümsemek;not to like, to underestimate
Buz üstüne yazı yazmak;Süresi ve etkisi pek az olan bir iş yapmak, sözleri etkisiz kalmak;Doing a job with little time and effect, being ineffective
Cadı kazanı;Fesadın ve dedikodunun çok olduğu;There is a lot of mischief and gossip
Caka satmak;Çalım satmak, gösteriş yapmak;Selling the bushes, showing off
Can atmak;Çok istemek, çok arzulamak;Want a lot, to desire very much
Can damarı;Bir şeyin en önemli noktası, en mühim unsuru;The most important point of something is the most important element
Can evinden vurmak;En etkileyici, en can alıcı yönden saldırmak;Attack the most impressive, crucial aspect
Can kulağıyla dinlemek;Kendini vererek, büyük bir dikkatle dinlemek;Listening with great care by giving yourself
Can pazarı;Herkesin kendi canının kaygısına düştüğü ve kendi canını kurtarmaya çalıştığı tehlikeli bir durum, yer;A dangerous situation where everyone is worried about their own life and tries to save their own lives
Cana can katmak;"İnsanda yaşama sevincini artırmak; insana neşe, heves ve iç gücü vermek";"To increase the joy of living in human beings; Giving people joy, enthusiasm and internal strength"
Canı çıkmak;Çok yorulmak;To get exhausted
Canına okumak;Bir kimseye büyük bir zarar vermek, kötülük etmek;To give a great harm to a person, to evil
Canına tak demek;Sabrı kalmamak, bir sıkıntıya dayanamaz duruma gelmek;No patience, to be able to withstand a problem
Canını dişine takmak;Büyük sıkıntıları, tehlikeleri göze alarak bir işi başarmaya çalışmak;Trying to achieve a job by taking into consideration great troubles and dangers
Canı tatlı;Acıya, üzüntüye ve sıkıntıya katlanmayan;Uncomfortable with pain, sadness and distress
Canı tez;Sabırsız, beklemeye tahammülü olmayan;Impatient, not tolerate to wait
Cebi delik;Parasız, cebinde para tutmasını bilmeyen;Free, does not know how to hold money in his pocket
Ciğeri beş para etmemek;Değersiz, kendisine güvenilmez, korkak, aşağılık;Worthless, unreliable, cowardly, inferiority
Ciğerimin köşesi;Çok sevdiğim;I love very much
Ciğerini okumak;Karşısındakinin gizli düşüncelerini bilmek, aklından geçenleri anlamak;Knowing the hidden thoughts of the other person, understanding what you think
Cin fikirli;Zeki, çok kurnaz, her zaman kendi çıkarını kollayan, çok anlayışlı;Intelligent, very cunning, always watching his own interests, very understanding
Cümbür cemaat;Topluca, hep birden;Collectively, always
Çakı gibi;Canlı ve atik, çevik;Live and Atik, agile
Çam devirmek;Farkında olmadan karşısındakini kıracak ya da kötü bir sonuca yol açacak söz söylemek, davranışta bulunmak;Saying a word that will break the other person or lead to a bad conclusion, to behave
Çanak tutmak;Söz ve davranışlarıyla kavgaya, kargaşaya yol açmak;To fight with words and behaviors, fighting, turmoil
Çantada keklik;Ele geçirilmesi o kadar kesin ki elde edilmiş sayılır;It is so certain that it is deemed to have been obtained.
Çar çur etmek;Gereksiz, lüzumsuz yere harcayıp tüketmek;To spend and consume unnecessary, unnecessary
Çarşaf gibi;Dalgasız, dümdüz ve durgun;Waveless, straight and stagnant
Çat kapı;Aniden, beklenmedik bir anda;Suddenly, unexpectedly
Çekip çevirmek;Yönetmek, düzene sokmak, hâle yola koymak, çalışmasını sağlamak;Managing, putting in order, putting on the road, ensuring that it works
Çene çalmak;Gevezelik ederek, çok konuşarak vakit geçirmek;Spending time by chatting, talking a lot
Çene yarıştırmak;Karşılıklı gevezelik etmek, boş konuşmak;Mutual chattering, talking empty
Çetin ceviz;Yola getirilmesi, yenilmesi zor rakip;Bringing on the road, difficult to defeat opponents
Çığırından çıkmak;Yoldan sapmak, doğru ve uygun gidişten ayrılmak, artık düzelemez hâle gelmek;To deviate from the road, to leave the right and appropriate departure, can no longer be improved
Çıngar çıkarmak;Gürültü patırtı, karışıklık ve kavga çıkarmak;Noise fuss, confusion and fighting
Çıt çıkarmamak;Çok sessiz olmak, hiç ses çıkarmamak, gürültü yapmamak;Being very quiet, not making no sound, not making noise
Çiçeği burnunda;Çok taze, acemi;Very fresh, novice
Çileden çıkmak;Çok öfkelenmek, olan bitenler karşısında dayanıklılığı kalmayıp taşkınlık göstermek;To be very angry, to show out of exuberance
Çorap söküğü gibi gitmek;Başlayan bir işin birbirine bağlı diğer bölümlerinin kolaylıkla halledilmesi;Easily handling of other parts of a starting job
Çorbada tuzu bulunmak;Yapılan bir iş ya da hizmette az da olsa çabası, emeği bulunmak;To have a little effort and labor in a job or service
Çürük tahtaya basmak;Tedbirsiz hareket edip, kötü sonuçlanacak bir işe girişmek;Moving without impulsive and starting a job that will result in badly
Dağ devirmek;Çok zor görünen işleri başarmak;Successing the jobs that look very hard
Dağdan gelip bağdakini kovmak;Daha sonradan geldiği bir yere ya da karıştığı bir işte eskiden beri bulunan bir kişinin yerini almaya çalışmak;Trying to replace a person who has been in a past or in a job that he was involved in
Dalavere çevirmek;Yalan, dolan ve hile ile kötü bir iş yapmak;Doing a bad job with a lie, filled and cheating
Daldan dala konmak;Çok sık, düşünce ya da konu değiştirmek;Very often, changing thoughts or subjects
Dalına basmak;Hiç hoşlanmadığı şeyleri yaparak birisini öfkelendirmek;To angry someone by doing things he doesn't like
Dallanıp budaklanmak;Genişleyip yayılmak, gittikçe büyüyerek karışık bir durum almak;Expanding and spreading, getting a mixed situation by growing increasingly
Damdan düşer gibi;Aniden, yersiz olarak;Suddenly, unwarranted
Dananın kuyruğu kopmak;Olay patlak vermek, beklenen ve korkulan sonucun gerçekleşmesi;The event erupted, the expected and feared result
Dara düşmek; Paraca sıkıntıya uğramak;Be in trouble
Dar boğaz;Sıkıntılar ve güçlükler içinde geçirilen, geçici kabul edilip sonunda ferahlık umulan durum;The situation spent in troubles and difficulties, which is accepted temporary and finally relieved
Darda kalmak;Darda kalmak;Be tight
Dar kafalı;"nlayışı, kavrayışı az; yeniliklere açık olmayan";"nlil, less comprehension; not open to innovations"
Defterden silmek;İlişkisini kesmek, yok saymak, adını anmaz olmak, unutmak;Interrupting the relationship, ignoring, being not remembered, forgetting
Defteri dürülmek; İşine son verilerek bir yerden uzaklaştırılmak;Being out of a place by ending his job
Defteri kapamak;İlgiyi kesmek, uğraşmaz olmak, söz konusu işi yapmaz olmak;To be interested, to be not to deal, to do the job in question
Deli fişek;Atak, delişmen, delice işler yapan, şımarık;Attack, crazy, crazy work, spoiled
Deliksiz uyku;Hiç uyanmadan, çok rahat, uzun süre uyunulan uyku;Sleeping for a long time without waking up, for a long time
Demir atmak;Bir yerde uzun süre kalmak;Stay somewhere for a long time
Denizden çıkmış balığa dönmek;Yeni bir işe, ortama, duruma alışmakta zorluk çekmek;To get used to a new job, environment, situation
Deveye hendek atlatmak;Birisine yapılması çok zor, hemen hemen yapamayacağı bir işi yaptırmaya çalışmak;It's hard to do to someone, trying to do a job that he can't do almost
Devlet kuşu;"Umulmadık, iyi talih; zenginlik, mutluluk getiren talih";"Unmissible, good luck; fortune that brings wealth, happiness"
Dışı seni yakar, içi beni;Dıştan görünüşü, herkesi imrendirecek kadar güzel ama içyüzü elverişsiz, kötü, sahibini üzücü;The external appearance is beautiful enough to envy everyone, but the insightless, bad, the owner is sad
Diken üstünde oturmak;Bir yerde tedirginlik duymak, her an kalkmak durumunu belirtir olmak, huzursuz olmak;To be uneasy in a place, to indicate the situation to get up at any moment, to be restless
Dikiş tutturamamak;Bir yerde, bir işte bir sebepten ötürü başarı sağlayamayıp uzun süre kalmamak;Somewhere, in a job for a reason for a long time to be left for a long time
Dil dökmek;Kandırmak, inandırmak ya da yararlanmak için tatlı sözler söylemek;Say sweet words to deceive, convince or benefit
Dil uzatmak;Bir kimse veya bir şey için kötü söz söylemek;Saying bad words for a person or something
Dillere düşmek;Hakkında dedikodu yapılmak;Gossip about
Dile kolay;Söylenmesi kolay ama yapılması ortaya konması ya da katlanılması çok güç;It is easy to say, but it is very difficult to reveal or endure
